Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,CAT-FEAST,Tandoori Feast (Serves 20),1,1,visible,"Choice of 3 entrées + Basmati Rice + Butter Naan + Veg Pakora + Chutneys","Our signature catering package serving 20 guests. Includes choice of 3 entrées, Basmati Rice, Butter Naan, Vegetable Pakora, and Chutneys.",taxable,1,399.00,Catering > Catering Packages,catering,,,0,0
simple,CAT-BEV-MANGO,Mango Lassi (Case of 6),1,0,visible,"Refreshing yogurt drink blended with ripe mangoes","Refreshing yogurt drink blended with ripe mangoes. Case of 6 bottles.",taxable,1,20.00,Catering > Catering Beverages,"catering, GF",,,0,0
simple,CAT-BEV-SWEET,Sweet Lassi (Case of 6),1,0,visible,"Creamy chilled yogurt drink with cardamom & rose water","Creamy chilled yogurt drink with cardamom & rose water. Case of 6 bottles.",taxable,1,20.00,Catering > Catering Beverages,"catering, GF",,,0,0
simple,CAT-BEV-CHAI,Masala Chai (Case of 6),1,0,visible,"Aromatic spiced milk tea with cinnamon & cardamom","Aromatic spiced milk tea with cinnamon & cardamom. Case of 6 bottles.",taxable,1,15.99,Catering > Catering Beverages,"catering, GF, VO",,,0,0
simple,CAT-BEV-LEMON,Masala Lemon Lime Soda (Case of 6),1,0,visible,"Indian street-style lemonade with unique spice blend","Indian street-style lemonade with unique spice blend. Case of 6 bottles.",taxable,1,18.00,Catering > Catering Beverages,"catering, GF, V",,,0,0
simple,CAT-BEV-SODA,Assorted Sodas,1,0,visible,"Individual bottles","Individual bottles of assorted sodas.",taxable,1,2.50,Catering > Catering Beverages,catering,,,0,0
variable,CAT-APP-SAMOSA,Vegetable Samosas,1,0,visible,"Flaky pastries with spiced potatoes, peas & herbs","Flaky pastries with spiced potatoes, peas & herbs. Served with chutneys.",taxable,1,,Catering > Catering Appetizers,catering,Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-VEGPAK,Vegetable Pakoras,1,0,visible,"Mixed vegetables in spiced chickpea batter, deep-fried","Mixed vegetables in spiced chickpea batter, deep-fried to golden perfection.",taxable,1,,Catering > Catering Appetizers,"catering, GF, V",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-CHKPAK,Chicken Pakoras,1,0,visible,"Crispy chicken fritters","Crispy chicken fritters with aromatic spices.",taxable,1,,Catering > Catering Appetizers,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-SHRPAK,Shrimp Pakoras,1,0,visible,"Crispy shrimp fritters","Crispy shrimp fritters with aromatic spices.",taxable,1,,Catering > Catering Appetizers,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
